,X,Y,day
0,18.3270313896,0.0,61022
1,18.3270309466,0.00412179115123,61023
2,18.3270296178,0.00824358210327,61024
3,18.327027403,0.0123653726567,61025
4,18.3270243023,0.0164871626124,61026
5,18.3270203157,0.0206089517712,61027
6,18.3270154432,0.0247307399338,61028
7,18.3270096848,0.0288525269009,61029
8,18.3270030405,0.0329743124733,61030
9,18.3269955102,0.0370960964518,61031
10,18.3269870941,0.0412178786371,61032
11,18.326977792,0.0453396588299,61033
12,18.3269676041,0.0494614368311,61034
13,18.3269565302,0.0535832124413,61035
14,18.3269445704,0.0577049854614,61036
15,18.3269317247,0.0618267556921,61037
16,18.3269179931,0.0659485229342,61038
17,18.3269033757,0.0700702869883,61039
18,18.3268878723,0.0741920476554,61040
19,18.326871483,0.078313804736,61041
20,18.3268542078,0.0824355580311,61042
21,18.3268360467,0.0865573073413,61043
22,18.3268169997,0.0906790524674,61044
23,18.3267970668,0.0948007932102,61045
24,18.326776248,0.0989225293705,61046
25,18.3267545433,0.103044260749,61047
26,18.3267319527,0.107165987146,61048
27,18.3267084762,0.111287708363,61049
28,18.3266841138,0.115409424201,61050
29,18.3266588655,0.11953113446,61051
30,18.3266327314,0.12365283894,61052
31,18.3266057113,0.127774537444,61053
32,18.3265778054,0.131896229771,61054
33,18.3265490136,0.136017915722,61055
34,18.3265193359,0.140139595099,61056
35,18.3264887723,0.144261267701,61057
36,18.3264573228,0.14838293333,61058
37,18.3264249875,0.152504591786,61059
38,18.3263917662,0.15662624287,61060
39,18.3263576591,0.160747886383,61061
40,18.3263226662,0.164869522126,61062
41,18.3262867873,0.168991149899,61063
42,18.3262500226,0.173112769504,61064
43,18.326212372,0.17723438074,61065
44,18.3261738356,0.181355983409,61066
45,18.3261344132,0.185477577312,61067
46,18.3260941051,0.189599162248,61068
47,18.326052911,0.19372073802,61069
48,18.3260108311,0.197842304428,61070
49,18.3259678654,0.201963861272,61071
50,18.3259240138,0.206085408354,61072
51,18.3258792763,0.210206945473,61073
52,18.325833653,0.214328472432,61074
53,18.3257871439,0.21844998903,61075
54,18.3257397489,0.222571495068,61076
55,18.3256914681,0.226692990348,61077
56,18.3256423014,0.23081447467,61078
57,18.3255922489,0.234935947835,61079
58,18.3255413106,0.239057409643,61080
59,18.3254894865,0.243178859895,61081
60,18.3254367765,0.247300298393,61082
61,18.3253831807,0.251421724937,61083
62,18.325328699,0.255543139327,61084
63,18.3252733316,0.259664541364,61085
64,18.3252170784,0.26378593085,61086
65,18.3251599393,0.267907307585,61087
66,18.3251019144,0.27202867137,61088
67,18.3250430037,0.276150022005,61089
68,18.3249832073,0.280271359292,61090
69,18.324922525,0.28439268303,61091
70,18.3248609569,0.288513993022,61092
71,18.324798503,0.292635289068,61093
72,18.3247351634,0.296756570968,61094
73,18.324670938,0.300877838523,61095
74,18.3246058267,0.304999091535,61096
75,18.3245398297,0.309120329803,61097
76,18.324472947,0.313241553129,61098
77,18.3244051784,0.317362761314,61099
78,18.3243365241,0.321483954158,61100
79,18.3242669841,0.325605131462,61101
80,18.3241965582,0.329726293027,61102
81,18.3241252467,0.333847438653,61103
82,18.3240530493,0.337968568142,61104
83,18.3239799663,0.342089681295,61105
84,18.3239059974,0.346210777911,61106
85,18.3238311429,0.350331857793,61107
86,18.3237554026,0.35445292074,61108
87,18.3236787766,0.358573966553,61109
88,18.3236012648,0.362694995034,61110
89,18.3235228673,0.366816005983,61111
90,18.3234435842,0.370936999202,61112
91,18.3233634153,0.375057974489,61113
92,18.3232823606,0.379178931648,61114
93,18.3232004203,0.383299870477,61115
94,18.3231175943,0.387420790779,61116
95,18.3230338826,0.391541692354,61117
96,18.3229492852,0.395662575003,61118
97,18.3228638021,0.399783438527,61119
98,18.3227774333,0.403904282726,61120
99,18.3226901789,0.408025107401,61121
100,18.3226020388,0.412145912353,61122
101,18.322513013,0.416266697383,61123
102,18.3224231016,0.420387462292,61124
103,18.3223323044,0.424508206881,61125
104,18.3222406217,0.42862893095,61126
105,18.3221480533,0.4327496343,61127
106,18.3220545992,0.436870316733,61128
107,18.3219602596,0.440990978048,61129
108,18.3218650343,0.445111618047,61130
109,18.3217689233,0.449232236531,61131
110,18.3216719268,0.4533528333,61132
111,18.3215740446,0.457473408155,61133
112,18.3214752768,0.461593960897,61134
113,18.3213756234,0.465714491328,61135
114,18.3212750844,0.469834999247,61136
115,18.3211736598,0.473955484455,61137
116,18.3210713497,0.478075946755,61138
117,18.3209681539,0.482196385945,61139
118,18.3208640726,0.486316801828,61140
119,18.3207591057,0.490437194204,61141
120,18.3206532532,0.494557562873,61142
121,18.3205465152,0.498677907638,61143
122,18.3204388916,0.502798228297,61144
123,18.3203303825,0.506918524654,61145
124,18.3202209878,0.511038796507,61146
125,18.3201107076,0.515159043659,61147
126,18.3199995418,0.51927926591,61148
127,18.3198874906,0.523399463061,61149
128,18.3197745538,0.527519634912,61150
129,18.3196607315,0.531639781265,61151
130,18.3195460237,0.535759901921,61152
131,18.3194304304,0.53987999668,61153
132,18.3193139516,0.544000065343,61154
133,18.3191965874,0.548120107711,61155
134,18.3190783376,0.552240123586,61156
135,18.3189592024,0.556360112767,61157
136,18.3188391817,0.560480075056,61158
137,18.3187182756,0.564600010253,61159
138,18.318596484,0.56871991816,61160
139,18.3184738069,0.572839798578,61161
140,18.3183502444,0.576959651306,61162
141,18.3182257965,0.581079476147,61163
142,18.3181004632,0.585199272901,61164
143,18.3179742444,0.589319041369,61165
144,18.3178471402,0.593438781352,61166
145,18.3177191506,0.59755849265,61167
146,18.3175902756,0.601678175065,61168
147,18.3174605153,0.605797828398,61169
148,18.3173298695,0.609917452449,61170
149,18.3171983384,0.614037047019,61171
150,18.3170659219,0.61815661191,61172
151,18.31693262,0.622276146922,61173
152,18.3167984328,0.626395651856,61174
153,18.3166633602,0.630515126513,61175
154,18.3165274023,0.634634570694,61176
155,18.3163905591,0.6387539842,61177
156,18.3162528305,0.642873366831,61178
157,18.3161142166,0.646992718389,61179
158,18.3159747174,0.651112038675,61180
159,18.315834333,0.65523132749,61181
160,18.3156930632,0.659350584633,61182
161,18.3155509081,0.663469809907,61183
162,18.3154078677,0.667589003113,61184
163,18.3152639421,0.671708164051,61185
164,18.3151191312,0.675827292521,61186
165,18.3149734351,0.679946388326,61187
166,18.3148268537,0.684065451266,61188
167,18.3146793871,0.688184481142,61189
168,18.3145310352,0.692303477755,61190
169,18.3143817981,0.696422440906,61191
170,18.3142316758,0.700541370396,61192
171,18.3140806683,0.704660266026,61193
172,18.3139287756,0.708779127596,61194
173,18.3137759978,0.712897954908,61195
174,18.3136223347,0.717016747763,61196
175,18.3134677864,0.721135505961,61197
176,18.313312353,0.725254229304,61198
177,18.3131560345,0.729372917593,61199
178,18.3129988308,0.733491570628,61200
179,18.3128407419,0.73761018821,61201
180,18.3126817679,0.741728770141,61202
181,18.3125219089,0.745847316222,61203
182,18.3123611646,0.749965826253,61204
183,18.3121995353,0.754084300035,61205
184,18.3120370209,0.75820273737,61206
185,18.3118736214,0.762321138058,61207
186,18.3117093369,0.766439501901,61208
187,18.3115441672,0.770557828699,61209
188,18.3113781125,0.774676118253,61210
189,18.3112111728,0.778794370365,61211
190,18.311043348,0.782912584835,61212
191,18.3108746382,0.787030761464,61213
192,18.3107050434,0.791148900054,61214
193,18.3105345635,0.795267000405,61215
194,18.3103631987,0.799385062318,61216
195,18.3101909488,0.803503085595,61217
196,18.310017814,0.807621070037,61218
197,18.3098437942,0.811739015443,61219
198,18.3096688895,0.815856921617,61220
199,18.3094930997,0.819974788357,61221
200,18.3093164251,0.824092615466,61222
201,18.3091388655,0.828210402745,61223
202,18.308960421,0.832328149994,61224
203,18.3087810915,0.836445857015,61225
204,18.3086008772,0.840563523609,61226
205,18.3084197779,0.844681149576,61227
206,18.3082377938,0.848798734718,61228
207,18.3080549248,0.852916278835,61229
