,day,x,y,z
0,79625,-1.35721225812,-1.36188042963,0.0302805262014
1,79626,-1.33614521467,-1.37015871122,0.0299221990205
2,79627,-1.31504434058,-1.37811149784,0.0295618237847
3,79628,-1.29391502863,-1.38573926755,0.029199422092
4,79629,-1.27276265173,-1.39304259383,0.0288350157187
5,79630,-1.2515925611,-1.40002214517,0.0284686266183
6,79631,-1.23041008443,-1.40667868439,0.0281002769248
7,79632,-1.20922052406,-1.41301306819,0.0277299889505
8,79633,-1.18802915518,-1.4190262464,0.0273577851872
9,79634,-1.16684122414,-1.42471926136,0.0269836883074
10,79635,-1.14566194653,-1.43009324722,0.0266077211644
11,79636,-1.12449650561,-1.43514942917,0.0262299067917
12,79637,-1.10335005044,-1.4398891227,0.0258502684047
13,79638,-1.08222769429,-1.44431373273,0.0254688294009
14,79639,-1.06113451285,-1.44842475279,0.0250856133594
15,79640,-1.04007554266,-1.45222376413,0.0247006440418
16,79641,-1.01905577941,-1.45571243479,0.0243139453938
17,79642,-0.998080176309,-1.45889251864,0.0239255415427
18,79643,-0.977153642553,-1.46176585439,0.0235354568014
19,79644,-0.956281041685,-1.46433436456,0.0231437156652
20,79645,-0.935467190097,-1.46660005445,0.0227503428149
21,79646,-0.914716855467,-1.46856501103,0.022355363115
22,79647,-0.894034755312,-1.47023140182,0.0219588016164
23,79648,-0.873425555482,-1.47160147373,0.0215606835545
24,79649,-0.85289386872,-1.47267755194,0.02116103435
25,79650,-0.832444253285,-1.47346203862,0.0207598796103
26,79651,-0.81208121155,-1.47395741176,0.0203572451285
27,79652,-0.791809188625,-1.47416622383,0.0199531568847
28,79653,-0.77163257111,-1.4740911006,0.019547641045
29,79654,-0.751555685702,-1.47373473975,0.0191407239627
30,79655,-0.731582798025,-1.47309990953,0.0187324321784
31,79656,-0.711718111356,-1.47218944746,0.0183227924198
32,79657,-0.691965765446,-1.47100625887,0.0179118316023
33,79658,-0.672329835361,-1.46955331559,0.0174995768288
34,79659,-0.652814330334,-1.46783365442,0.01708605539
35,79660,-0.633423192684,-1.46585037576,0.0166712947647
36,79661,-0.61416029678,-1.46360664212,0.0162553226195
37,79662,-0.59502944797,-1.46110567664,0.0158381668092
38,79663,-0.576034381614,-1.45835076157,0.0154198553769
39,79664,-0.55717876212,-1.45534523677,0.0150004165538
40,79665,-0.538466182053,-1.4520924982,0.0145798787593
41,79666,-0.519900161184,-1.44859599634,0.0141582706012
42,79667,-0.501484145709,-1.44485923462,0.0137356208755
43,79668,-0.483221507394,-1.44088576788,0.0133119585662
44,79669,-0.46511554282,-1.43667920076,0.0128873128457
