,X,Y,day
0,0.2690610627,0.0,78988
1,0.267693502188,0.0297565041663,78989
2,0.263613176247,0.0592117762105,78990
3,0.256886069662,0.0880731668943,78991
4,0.24761866625,0.116064554004,78992
5,0.235953096491,0.142933100071,78993
6,0.222061040539,0.168454437273,78994
7,0.206136936093,0.192436089806,78995
8,0.188391031487,0.214719138095,78996
9,0.169042749441,0.235178289554,78997
10,0.148314711589,0.253720629247,78998
11,0.126427644715,0.270283376716,78999
12,0.103596268594,0.284830979663,79000
13,0.080026166371,0.297351844239,79001
14,0.0559115674726,0.307854950221,79002
15,0.0314339296848,0.316366540124,79003
16,0.0067611870683,0.322927013723,79004
17,-0.0179524721811,0.327588109283,79005
18,-0.042566424829,0.330410412452,79006
19,-0.0669531400914,0.331461203762,79007
20,-0.0909975087995,0.3308126349,79008
21,-0.114596049256,0.328540210777,79009
22,-0.137656047983,0.324721547232,79010
23,-0.160094678937,0.31943537119,79011
24,-0.181838132661,0.312760730044,79012
25,-0.202820777071,0.304776378759,79013
26,-0.222984364058,0.295560315969,79014
27,-0.242277290303,0.285189443568,79015
28,-0.260653916541,0.273739327668,79016
29,-0.278073946476,0.261284041998,79017
30,-0.294501864474,0.247896077808,79018
31,-0.309906429829,0.233646307,79019
32,-0.324260224535,0.218603987514,79020
33,-0.337539251068,0.20283680199,79021
34,-0.349722576519,0.186410922446,79022
35,-0.36079201942,0.169391095083,79023
36,-0.370731875776,0.151840740535,79024
37,-0.379528681044,0.133822065851,79025
38,-0.387171005073,0.115396185267,79026
39,-0.393649277357,0.0966232475106,79027
40,-0.398955640254,0.0775625678554,79028
41,-0.403083828178,0.0582727636012,79029
42,-0.406029071073,0.0388118919568,79030
43,-0.407788020814,0.0192375895679,79031
44,-0.408358699496,-0.000392786879175,79032
45,-0.40774046886,-0.0200220194109,79033
46,-0.405934020424,-0.0395928872217,79034
47,-0.402941386177,-0.0590480251359,79035
48,-0.398765969984,-0.0783297823792,79036
49,-0.393412600162,-0.0973800820093,79037
50,-0.386887603968,-0.116140281441,79038
51,-0.379198905073,-0.134551034646,79039
52,-0.37035614537,-0.152552156784,79040
53,-0.360370832838,-0.170082492314,79041
54,-0.34925651745,-0.187079787912,79042
55,-0.337028997502,-0.203480572003,79043
56,-0.323706559008,-0.219220043189,79044
57,-0.309310251176,-0.23423197054,79045
58,-0.293864201222,-0.24844860949,79046
59,-0.277395972015,-0.261800638091,79047
60,-0.259936966231,-0.274217119519,79048
61,-0.241522880651,-0.285625498201,79049
62,-0.222194214111,-0.295951638586,79050
63,-0.201996832115,-0.305119917634,79051
64,-0.180982590308,-0.31305338438,79052
65,-0.159210017586,-0.319674002658,79053
66,-0.136745057555,-0.324902995992,79054
67,-0.113661863959,-0.328661316957,79055
68,-0.0900436414674,-0.330870266605,79056
69,-0.0659835174043,-0.331452292833,79057
70,-0.0415854223408,-0.330331999277,79058
71,-0.0169649476728,-0.327437398011,79059
72,0.00774986394621,-0.322701439154,79060
73,0.0324178541436,-0.316063847384,79061
74,0.0568842860663,-0.307473287895,79062
75,0.0809806773436,-0.296889870992,79063
76,0.104525040901,-0.284287983354,79064
77,0.127322661042,-0.269659403585,79065
78,0.149167540842,-0.253016618951,79066
79,0.16984465377,-0.234396209633,79067
80,0.189133111646,-0.213862109044,79068
81,0.206810316647,-0.191508489671,79069
82,0.222657093009,-0.167461972951,79070
83,0.236463694029,-0.141882831887,79071
84,0.248036458305,-0.114964861266,79072
85,0.257204760066,-0.0869336453647,79073
86,0.263827784168,-0.0580430639504,79074
87,0.267800583647,-0.0285700394717,79075
88,0.269058871608,0.00119227677682,79076
