,day,x,y,z
0,77141,4.79255671043,1.22475957876,-0.112266655202
1,77142,4.79059148744,1.23243113365,-0.112254386492
2,77143,4.78861457101,1.24009968028,-0.112241843778
3,77144,4.78662596598,1.24776519992,-0.112229027091
4,77145,4.7846256772,1.25542767388,-0.112215936462
5,77146,4.78261370959,1.26308708346,-0.112202571925
6,77147,4.78059006805,1.27074340995,-0.112188933511
7,77148,4.77855475756,1.27839663468,-0.112175021256
8,77149,4.77650778312,1.28604673898,-0.112160835192
9,77150,4.77444914975,1.29369370419,-0.112146375357
10,77151,4.7723788625,1.30133751163,-0.112131641785
11,77152,4.77029692648,1.30897814268,-0.112116634514
12,77153,4.7682033468,1.31661557868,-0.112101353581
13,77154,4.76609812864,1.32424980102,-0.112085799026
14,77155,4.76398127716,1.33188079107,-0.112069970886
15,77156,4.76185279761,1.33950853023,-0.112053869202
16,77157,4.75971269523,1.34713299988,-0.112037494015
17,77158,4.75756097531,1.35475418144,-0.112020845366
18,77159,4.75539764317,1.36237205633,-0.112003923297
19,77160,4.75322270416,1.36998660597,-0.111986727852
20,77161,4.75103616368,1.3775978118,-0.111969259074
21,77162,4.74883802712,1.38520565526,-0.111951517007
22,77163,4.74662829996,1.39281011782,-0.111933501698
23,77164,4.74440698765,1.40041118094,-0.111915213191
24,77165,4.74217409574,1.40800882609,-0.111896651534
25,77166,4.73992962975,1.41560303475,-0.111877816775
26,77167,4.73767359526,1.42319378843,-0.111858708961
27,77168,4.73540599788,1.43078106863,-0.111839328143
28,77169,4.73312684327,1.43836485686,-0.111819674369
29,77170,4.7308361371,1.44594513465,-0.11179974769
30,77171,4.72853388506,1.45352188353,-0.111779548158
31,77172,4.72622009291,1.46109508505,-0.111759075825
32,77173,4.7238947664,1.46866472077,-0.111738330744
33,77174,4.72155791136,1.47623077225,-0.111717312969
34,77175,4.71920953361,1.48379322106,-0.111696022553
35,77176,4.71684963903,1.49135204881,-0.111674459552
36,77177,4.7144782335,1.49890723708,-0.111652624023
37,77178,4.71209532296,1.50645876748,-0.111630516021
38,77179,4.70970091339,1.51400662163,-0.111608135605
39,77180,4.70729501077,1.52155078116,-0.111585482832
40,77181,4.70487762113,1.52909122772,-0.111562557762
41,77182,4.70244875053,1.53662794295,-0.111539360454
42,77183,4.70000840507,1.54416090851,-0.111515890969
43,77184,4.69755659086,1.55169010609,-0.111492149368
44,77185,4.69509331406,1.55921551736,-0.111468135713
45,77186,4.69261858087,1.56673712402,-0.111443850067
46,77187,4.69013239749,1.57425490778,-0.111419292493
47,77188,4.68763477019,1.58176885036,-0.111394463057
48,77189,4.68512570525,1.58927893348,-0.111369361822
49,77190,4.68260520897,1.59678513889,-0.111343988855
50,77191,4.6800732877,1.60428744834,-0.111318344222
51,77192,4.67752994783,1.61178584359,-0.111292427991
52,77193,4.67497519576,1.61928030642,-0.111266240229
53,77194,4.67240903794,1.62677081861,-0.111239781006
54,77195,4.66983148082,1.63425736197,-0.111213050391
55,77196,4.66724253094,1.64173991831,-0.111186048454
56,77197,4.66464219481,1.64921846944,-0.111158775268
57,77198,4.662030479,1.65669299721,-0.111131230902
58,77199,4.65940739013,1.66416348346,-0.111103415431
59,77200,4.65677293481,1.67162991004,-0.111075328927
