,day,x,y,z
94,30307,19.5811045312,22.4512197211,-0.913461679426
95,30308,19.5787141295,22.4533074778,-0.913449910485
96,30309,19.5763235083,22.4553949827,-0.913438131302
97,30310,19.5739326675,22.4574822358,-0.913426341875
98,30311,19.5715416071,22.4595692369,-0.913414542199
99,30312,19.5691503274,22.4616559862,-0.913402732285
100,30313,19.5667588281,22.4637424836,-0.913390912124
101,30314,19.5643671094,22.4658287291,-0.913379081721
102,30315,19.5619751712,22.4679147225,-0.91336724107
103,30316,19.5595830136,22.470000464,-0.913355390179
104,30317,19.5571906368,22.4720859536,-0.913343529046
105,30318,19.5547980405,22.474171191,-0.913331657667
106,30319,19.552405225,22.4762561764,-0.913319776047
107,30320,19.5500121901,22.4783409097,-0.913307884179
108,30321,19.5476189361,22.4804253911,-0.913295982075
109,30322,19.5452254627,22.4825096202,-0.913284069724
110,30323,19.5428317702,22.4845935972,-0.913272147132
111,30324,19.5404378585,22.4866773219,-0.913260214295
112,30325,19.5380437277,22.4887607946,-0.91324827122
113,30326,19.5356493777,22.490844015,-0.913236317899
114,30327,19.5332548087,22.4929269832,-0.913224354339
115,30328,19.5308600205,22.4950096991,-0.913212380533
116,30329,19.5284650134,22.4970921628,-0.91320039649
117,30330,19.5260697872,22.4991743741,-0.913188402201
118,30331,19.523674342,22.5012563331,-0.913176397674
119,30332,19.5212786779,22.5033380397,-0.913164382904
120,30333,19.5188827948,22.5054194939,-0.913152357892
121,30334,19.5164866929,22.5075006958,-0.913140322641
122,30335,19.514090372,22.5095816453,-0.913128277148
123,30336,19.5116938323,22.5116623423,-0.913116221413
124,30337,19.5092970738,22.5137427867,-0.913104155437
125,30338,19.5069000964,22.5158229788,-0.913092079222
126,30339,19.5045029003,22.5179029183,-0.913079992766
127,30340,19.5021054855,22.5199826053,-0.913067896071
128,30341,19.4997078519,22.5220620396,-0.913055789132
129,30342,19.4973099996,22.5241412214,-0.913043671956
130,30343,19.4949119288,22.5262201507,-0.913031544541
131,30344,19.4925136392,22.5282988272,-0.913019406886
132,30345,19.490115131,22.5303772511,-0.91300725899
133,30346,19.4877164043,22.5324554223,-0.912995100853
134,30347,19.485317459,22.5345333409,-0.912982932479
135,30348,19.4829182951,22.5366110066,-0.912970753865
136,30349,19.4805189128,22.5386884197,-0.912958565014
137,30350,19.478119312,22.54076558,-0.912946365922
138,30351,19.4757194927,22.5428424874,-0.912934156591
139,30352,19.473319455,22.5449191421,-0.912921937022
140,30353,19.4709191989,22.5469955439,-0.912909707214
141,30354,19.4685187244,22.5490716928,-0.912897467167
142,30355,19.4661180316,22.5511475889,-0.912885216883
143,30356,19.4637171206,22.5532232321,-0.912872956363
144,30357,19.4613159911,22.5552986222,-0.9128606856
145,30358,19.4589146435,22.5573737595,-0.912848404601
146,30359,19.4565130776,22.5594486438,-0.912836113367
147,30360,19.4541112935,22.561523275,-0.912823811893
148,30361,19.4517092912,22.5635976532,-0.912811500181
149,30362,19.4493070708,22.5656717784,-0.912799178234
150,30363,19.4469046322,22.5677456504,-0.912786846047
151,30364,19.4445019755,22.5698192695,-0.912774503626
152,30365,19.4420991008,22.5718926353,-0.912762150966
153,30366,19.439696008,22.5739657481,-0.912749788071
154,30367,19.4372926972,22.5760386076,-0.912737414938
155,30368,19.4348891684,22.5781112139,-0.912725031568
156,30369,19.4324854216,22.5801835671,-0.912712637962
157,30370,19.430081457,22.582255667,-0.912700234122
158,30371,19.4276772744,22.5843275136,-0.912687820044
159,30372,19.4252728739,22.586399107,-0.912675395732
160,30373,19.4228682556,22.5884704471,-0.912662961183
161,30374,19.4204634194,22.5905415337,-0.912650516397
162,30375,19.4180583654,22.5926123671,-0.912638061376
163,30376,19.4156530937,22.5946829471,-0.912625596122
164,30377,19.4132476042,22.5967532737,-0.912613120631
165,30378,19.4108418969,22.5988233468,-0.912600634903
166,30379,19.4084359721,22.6008931666,-0.912588138945
167,30380,19.4060298294,22.6029627327,-0.912575632747
168,30381,19.4036234693,22.6050320455,-0.912563116319
169,30382,19.4012168914,22.6071011047,-0.912550589652
170,30383,19.398810096,22.6091699104,-0.912538052755
171,30384,19.396403083,22.6112384625,-0.912525505622
172,30385,19.3939958525,22.613306761,-0.912512948253
173,30386,19.3915884044,22.6153748059,-0.912500380651
174,30387,19.3891807389,22.6174425972,-0.912487802817
175,30388,19.386772856,22.6195101348,-0.912475214747
176,30389,19.3843647556,22.6215774188,-0.912462616445
177,30390,19.3819564379,22.6236444491,-0.912450007911
178,30391,19.3795479027,22.6257112256,-0.912437389142
179,30392,19.3771391502,22.6277777484,-0.912424760141
180,30393,19.3747301804,22.6298440173,-0.912412120905
181,30394,19.3723209933,22.6319100325,-0.912399471437
182,30395,19.369911589,22.6339757939,-0.912386811738
183,30396,19.3675019674,22.6360413014,-0.912374141804
184,30397,19.3650921286,22.6381065551,-0.912361461639
185,30398,19.3626820726,22.6401715549,-0.912348771243
186,30399,19.3602717994,22.6422363008,-0.912336070612
187,30400,19.3578613092,22.6443007928,-0.912323359754
188,30401,19.3554506018,22.6463650307,-0.912310638659
189,30402,19.3530396774,22.6484290147,-0.912297907336
190,30403,19.3506285359,22.6504927447,-0.912285165779
191,30404,19.3482171775,22.6525562207,-0.912272413992
192,30405,19.3458056019,22.6546194426,-0.912259651972
193,30406,19.3433938095,22.6566824105,-0.912246879724
194,30407,19.3409818001,22.6587451242,-0.912234097243
195,30408,19.3385695738,22.6608075838,-0.912221304529
196,30409,19.3361571306,22.6628697893,-0.912208501588
197,30410,19.3337444705,22.6649317406,-0.912195688415
198,30411,19.3313315937,22.6669934377,-0.912182865012
199,30412,19.3289185,22.6690548807,-0.912170031379
200,30413,19.3265051896,22.6711160694,-0.912157187517
201,30414,19.3240916623,22.6731770038,-0.912144333423
202,30415,19.3216779184,22.6752376839,-0.912131469099
203,30416,19.3192639578,22.6772981097,-0.912118594547
204,30417,19.3168497805,22.6793582813,-0.912105709765
205,30418,19.3144353866,22.6814181985,-0.912092814755
206,30419,19.3120207761,22.6834778612,-0.912079909513
207,30420,19.3096059489,22.6855372696,-0.912066994043
208,30421,19.3071909052,22.6875964235,-0.912054068344
209,30422,19.304775645,22.6896553231,-0.912041132417
210,30423,19.3023601683,22.6917139681,-0.912028186261
