,date,declination,right_ascension
113,4/25/2018,4d 12m 41s North,11h 45m 49s
114,4/26/2018,4d 14m 11s North,11h 45m 34s
115,4/27/2018,4d 15m 38s North,11h 45m 19s
116,4/28/2018,4d 17m 3s North,11h 45m 4s
117,4/29/2018,4d 18m 26s North,11h 44m 49s
118,4/30/2018,4d 19m 46s North,11h 44m 35s
119,5/1/2018,4d 21m 4s North,11h 44m 21s
120,5/2/2018,4d 22m 19s North,11h 44m 7s
121,5/3/2018,4d 23m 32s North,11h 43m 54s
122,5/4/2018,4d 24m 43s North,11h 43m 41s
123,5/5/2018,4d 25m 51s North,11h 43m 29s
124,5/6/2018,4d 26m 57s North,11h 43m 17s
125,5/7/2018,4d 28m 0s North,11h 43m 5s
126,5/8/2018,4d 29m 1s North,11h 42m 54s
127,5/9/2018,4d 29m 59s North,11h 42m 43s
128,5/10/2018,4d 30m 55s North,11h 42m 32s
129,5/11/2018,4d 31m 48s North,11h 42m 22s
130,5/12/2018,4d 32m 38s North,11h 42m 12s
131,5/13/2018,4d 33m 26s North,11h 42m 2s
132,5/14/2018,4d 34m 11s North,11h 41m 53s
133,5/15/2018,4d 34m 54s North,11h 41m 44s
134,5/16/2018,4d 35m 34s North,11h 41m 36s
135,5/17/2018,4d 36m 12s North,11h 41m 28s
136,5/18/2018,4d 36m 47s North,11h 41m 20s
137,5/19/2018,4d 37m 19s North,11h 41m 13s
138,5/20/2018,4d 37m 49s North,11h 41m 6s
139,5/21/2018,4d 38m 16s North,11h 40m 59s
140,5/22/2018,4d 38m 41s North,11h 40m 53s
141,5/23/2018,4d 39m 3s North,11h 40m 48s
142,5/24/2018,4d 39m 22s North,11h 40m 42s
143,5/25/2018,4d 39m 39s North,11h 40m 37s
144,5/26/2018,4d 39m 53s North,11h 40m 33s
145,5/27/2018,4d 40m 5s North,11h 40m 29s
146,5/28/2018,4d 40m 14s North,11h 40m 25s
147,5/29/2018,4d 40m 21s North,11h 40m 22s
148,5/30/2018,4d 40m 25s North,11h 40m 19s
149,5/31/2018,4d 40m 26s North,11h 40m 16s
150,6/1/2018,4d 40m 25s North,11h 40m 14s
151,6/2/2018,4d 40m 21s North,11h 40m 12s
152,6/3/2018,4d 40m 15s North,11h 40m 11s
153,6/4/2018,4d 40m 6s North,11h 40m 10s
154,6/5/2018,4d 39m 55s North,11h 40m 9s
155,6/6/2018,4d 39m 41s North,11h 40m 9s
156,6/7/2018,4d 39m 25s North,11h 40m 9s
157,6/8/2018,4d 39m 6s North,11h 40m 10s
158,6/9/2018,4d 38m 45s North,11h 40m 11s
159,6/10/2018,4d 38m 22s North,11h 40m 12s
160,6/11/2018,4d 37m 56s North,11h 40m 14s
161,6/12/2018,4d 37m 27s North,11h 40m 16s
162,6/13/2018,4d 36m 57s North,11h 40m 18s
163,6/14/2018,4d 36m 23s North,11h 40m 21s
164,6/15/2018,4d 35m 48s North,11h 40m 25s
165,6/16/2018,4d 35m 10s North,11h 40m 28s
166,6/17/2018,4d 34m 30s North,11h 40m 32s
167,6/18/2018,4d 33m 47s North,11h 40m 36s
168,6/19/2018,4d 33m 2s North,11h 40m 41s
169,6/20/2018,4d 32m 15s North,11h 40m 46s
170,6/21/2018,4d 31m 26s North,11h 40m 52s
171,6/22/2018,4d 30m 35s North,11h 40m 57s
172,6/23/2018,4d 29m 41s North,11h 41m 4s
173,6/24/2018,4d 28m 45s North,11h 41m 10s
174,6/25/2018,4d 27m 47s North,11h 41m 17s
175,6/26/2018,4d 26m 47s North,11h 41m 24s
176,6/27/2018,4d 25m 44s North,11h 41m 32s
177,6/28/2018,4d 24m 40s North,11h 41m 39s
178,6/29/2018,4d 23m 33s North,11h 41m 48s
179,6/30/2018,4d 22m 24s North,11h 41m 56s
180,7/1/2018,4d 21m 14s North,11h 42m 5s
181,7/2/2018,4d 20m 1s North,11h 42m 14s
182,7/3/2018,4d 18m 46s North,11h 42m 24s
183,7/4/2018,4d 17m 30s North,11h 42m 34s
184,7/5/2018,4d 16m 11s North,11h 42m 44s
185,7/6/2018,4d 14m 50s North,11h 42m 54s
186,7/7/2018,4d 13m 28s North,11h 43m 5s
187,7/8/2018,4d 12m 4s North,11h 43m 16s
188,7/9/2018,4d 10m 37s North,11h 43m 28s
189,7/10/2018,4d 9m 9s North,11h 43m 39s
190,7/11/2018,4d 7m 39s North,11h 43m 51s
191,7/12/2018,4d 6m 8s North,11h 44m 4s
192,7/13/2018,4d 4m 34s North,11h 44m 16s
193,7/14/2018,4d 2m 59s North,11h 44m 29s
194,7/15/2018,4d 1m 22s North,11h 44m 42s
195,7/16/2018,3d 59m 44s North,11h 44m 56s
196,7/17/2018,3d 58m 3s North,11h 45m 9s
197,7/18/2018,3d 56m 22s North,11h 45m 23s
198,7/19/2018,3d 54m 38s North,11h 45m 38s
199,7/20/2018,3d 52m 53s North,11h 45m 52s
200,7/21/2018,3d 51m 6s North,11h 46m 7s
201,7/22/2018,3d 49m 18s North,11h 46m 22s
202,7/23/2018,3d 47m 28s North,11h 46m 37s
203,7/24/2018,3d 45m 37s North,11h 46m 53s
204,7/25/2018,3d 43m 45s North,11h 47m 9s
205,7/26/2018,3d 41m 50s North,11h 47m 25s
206,7/27/2018,3d 39m 55s North,11h 47m 41s
207,7/28/2018,3d 37m 58s North,11h 47m 58s
208,7/29/2018,3d 36m 0s North,11h 48m 15s
209,7/30/2018,3d 34m 0s North,11h 48m 32s
210,7/31/2018,3d 31m 59s North,11h 48m 49s
211,8/1/2018,3d 29m 57s North,11h 49m 6s
212,8/2/2018,3d 27m 54s North,11h 49m 24s
213,8/3/2018,3d 25m 49s North,11h 49m 42s
214,8/4/2018,3d 23m 43s North,11h 50m 0s
215,8/5/2018,3d 21m 36s North,11h 50m 18s
216,8/6/2018,3d 19m 28s North,11h 50m 37s
217,8/7/2018,3d 17m 18s North,11h 50m 55s
218,8/8/2018,3d 15m 8s North,11h 51m 14s
219,8/9/2018,3d 12m 56s North,11h 51m 33s
220,8/10/2018,3d 10m 44s North,11h 51m 53s
221,8/11/2018,3d 8m 30s North,11h 52m 12s
222,8/12/2018,3d 6m 15s North,11h 52m 32s
223,8/13/2018,3d 4m 0s North,11h 52m 52s
224,8/14/2018,3d 1m 43s North,11h 53m 12s
225,8/15/2018,2d 59m 26s North,11h 53m 32s
226,8/16/2018,2d 57m 7s North,11h 53m 52s
227,8/17/2018,2d 54m 48s North,11h 54m 13s
228,8/18/2018,2d 52m 28s North,11h 54m 33s
229,8/19/2018,2d 50m 7s North,11h 54m 54s
230,8/20/2018,2d 47m 46s North,11h 55m 15s
231,8/21/2018,2d 45m 23s North,11h 55m 36s
232,8/22/2018,2d 43m 0s North,11h 55m 57s
233,8/23/2018,2d 40m 36s North,11h 56m 19s
234,8/24/2018,2d 38m 12s North,11h 56m 40s
235,8/25/2018,2d 35m 46s North,11h 57m 2s
236,8/26/2018,2d 33m 21s North,11h 57m 24s
237,8/27/2018,2d 30m 54s North,11h 57m 45s
238,8/28/2018,2d 28m 27s North,11h 58m 7s
239,8/29/2018,2d 26m 0s North,11h 58m 30s
240,8/30/2018,2d 23m 32s North,11h 58m 52s
241,8/31/2018,2d 21m 3s North,11h 59m 14s
242,9/1/2018,2d 18m 34s North,11h 59m 36s
243,9/2/2018,2d 16m 5s North,11h 59m 59s
244,9/3/2018,2d 13m 35s North,12h 0m 21s
245,9/4/2018,2d 11m 5s North,12h 0m 44s
246,9/5/2018,2d 8m 34s North,12h 1m 7s
247,9/6/2018,2d 6m 3s North,12h 1m 30s
248,9/7/2018,2d 3m 32s North,12h 1m 53s
249,9/8/2018,2d 1m 0s North,12h 2m 16s
250,9/9/2018,1d 58m 29s North,12h 2m 39s
251,9/10/2018,1d 55m 57s North,12h 3m 2s
252,9/11/2018,1d 53m 25s North,12h 3m 25s
253,9/12/2018,1d 50m 52s North,12h 3m 48s
254,9/13/2018,1d 48m 20s North,12h 4m 12s
255,9/14/2018,1d 45m 47s North,12h 4m 35s
256,9/15/2018,1d 43m 15s North,12h 4m 58s
257,9/16/2018,1d 40m 42s North,12h 5m 22s
258,9/17/2018,1d 38m 9s North,12h 5m 45s
259,9/18/2018,1d 35m 37s North,12h 6m 9s
260,9/19/2018,1d 33m 4s North,12h 6m 32s
261,9/20/2018,1d 30m 32s North,12h 6m 56s
262,9/21/2018,1d 27m 59s North,12h 7m 19s
263,9/22/2018,1d 25m 27s North,12h 7m 43s
264,9/23/2018,1d 22m 54s North,12h 8m 6s
265,9/24/2018,1d 20m 22s North,12h 8m 30s
266,9/25/2018,1d 17m 50s North,12h 8m 53s
267,9/26/2018,1d 15m 19s North,12h 9m 17s
268,9/27/2018,1d 12m 47s North,12h 9m 41s
269,9/28/2018,1d 10m 16s North,12h 10m 4s
270,9/29/2018,1d 7m 46s North,12h 10m 28s
271,9/30/2018,1d 5m 15s North,12h 10m 51s
272,10/1/2018,1d 2m 45s North,12h 11m 15s
273,10/2/2018,1d 0m 15s North,12h 11m 38s
274,10/3/2018,0d 57m 46s North,12h 12m 2s
275,10/4/2018,0d 55m 17s North,12h 12m 25s
276,10/5/2018,0d 52m 49s North,12h 12m 48s
277,10/6/2018,0d 50m 21s North,12h 13m 12s
278,10/7/2018,0d 47m 54s North,12h 13m 35s
279,10/8/2018,0d 45m 27s North,12h 13m 58s
280,10/9/2018,0d 43m 1s North,12h 14m 21s
281,10/10/2018,0d 40m 36s North,12h 14m 44s
282,10/11/2018,0d 38m 11s North,12h 15m 7s
283,10/12/2018,0d 35m 47s North,12h 15m 30s
284,10/13/2018,0d 33m 23s North,12h 15m 53s
285,10/14/2018,0d 31m 1s North,12h 16m 16s
286,10/15/2018,0d 28m 39s North,12h 16m 39s
287,10/16/2018,0d 26m 18s North,12h 17m 1s
288,10/17/2018,0d 23m 57s North,12h 17m 24s
289,10/18/2018,0d 21m 38s North,12h 17m 46s
290,10/19/2018,0d 19m 19s North,12h 18m 9s
291,10/20/2018,0d 17m 2s North,12h 18m 31s
292,10/21/2018,0d 14m 45s North,12h 18m 53s
293,10/22/2018,0d 12m 29s North,12h 19m 15s
294,10/23/2018,0d 10m 15s North,12h 19m 37s
295,10/24/2018,0d 8m 1s North,12h 19m 59s
296,10/25/2018,0d 5m 48s North,12h 20m 20s
297,10/26/2018,0d 3m 37s North,12h 20m 42s
298,10/27/2018,0d 1m 26s North,12h 21m 3s
299,10/28/2018,0d 0m 42s South,12h 21m 24s
300,10/29/2018,0d 2m 50s South,12h 21m 45s
301,10/30/2018,0d 4m 57s South,12h 22m 6s
302,10/31/2018,0d 7m 3s South,12h 22m 27s
303,11/1/2018,0d 9m 7s South,12h 22m 47s
304,11/2/2018,0d 11m 10s South,12h 23m 8s
305,11/3/2018,0d 13m 12s South,12h 23m 28s
306,11/4/2018,0d 15m 13s South,12h 23m 48s
307,11/5/2018,0d 17m 12s South,12h 24m 8s
308,11/6/2018,0d 19m 9s South,12h 24m 28s
309,11/7/2018,0d 21m 6s South,12h 24m 47s
310,11/8/2018,0d 23m 1s South,12h 25m 7s
311,11/9/2018,0d 24m 54s South,12h 25m 26s
312,11/10/2018,0d 26m 46s South,12h 25m 45s
