,date,declination,right_ascension
113,4/25/2018,16d 22m 25s South,15h 9m 37s
114,4/26/2018,16d 20m 28s South,15h 9m 8s
115,4/27/2018,16d 18m 30s South,15h 8m 39s
116,4/28/2018,16d 16m 31s South,15h 8m 9s
117,4/29/2018,16d 14m 32s South,15h 7m 39s
118,4/30/2018,16d 12m 31s South,15h 7m 9s
119,5/1/2018,16d 10m 30s South,15h 6m 39s
120,5/2/2018,16d 8m 29s South,15h 6m 8s
121,5/3/2018,16d 6m 27s South,15h 5m 38s
122,5/4/2018,16d 4m 24s South,15h 5m 7s
123,5/5/2018,16d 2m 22s South,15h 4m 37s
124,5/6/2018,16d 0m 19s South,15h 4m 6s
125,5/7/2018,15d 58m 16s South,15h 3m 36s
126,5/8/2018,15d 56m 13s South,15h 3m 5s
127,5/9/2018,15d 54m 10s South,15h 2m 34s
128,5/10/2018,15d 52m 7s South,15h 2m 4s
129,5/11/2018,15d 50m 4s South,15h 1m 33s
130,5/12/2018,15d 48m 2s South,15h 1m 2s
131,5/13/2018,15d 46m 0s South,15h 0m 32s
132,5/14/2018,15d 43m 59s South,15h 0m 2s
133,5/15/2018,15d 41m 58s South,14h 59m 32s
134,5/16/2018,15d 39m 58s South,14h 59m 2s
135,5/17/2018,15d 37m 59s South,14h 58m 32s
136,5/18/2018,15d 36m 1s South,14h 58m 2s
137,5/19/2018,15d 34m 3s South,14h 57m 33s
138,5/20/2018,15d 32m 7s South,14h 57m 4s
139,5/21/2018,15d 30m 12s South,14h 56m 35s
140,5/22/2018,15d 28m 18s South,14h 56m 6s
141,5/23/2018,15d 26m 25s South,14h 55m 38s
142,5/24/2018,15d 24m 34s South,14h 55m 10s
143,5/25/2018,15d 22m 44s South,14h 54m 42s
144,5/26/2018,15d 20m 55s South,14h 54m 15s
145,5/27/2018,15d 19m 9s South,14h 53m 48s
146,5/28/2018,15d 17m 24s South,14h 53m 22s
147,5/29/2018,15d 15m 41s South,14h 52m 56s
148,5/30/2018,15d 13m 59s South,14h 52m 30s
149,5/31/2018,15d 12m 20s South,14h 52m 5s
150,6/1/2018,15d 10m 43s South,14h 51m 40s
151,6/2/2018,15d 9m 7s South,14h 51m 16s
152,6/3/2018,15d 7m 34s South,14h 50m 52s
153,6/4/2018,15d 6m 3s South,14h 50m 28s
154,6/5/2018,15d 4m 35s South,14h 50m 5s
155,6/6/2018,15d 3m 8s South,14h 49m 43s
156,6/7/2018,15d 1m 45s South,14h 49m 21s
157,6/8/2018,15d 0m 23s South,14h 49m 0s
158,6/9/2018,14d 59m 4s South,14h 48m 39s
159,6/10/2018,14d 57m 48s South,14h 48m 19s
160,6/11/2018,14d 56m 35s South,14h 48m 0s
161,6/12/2018,14d 55m 24s South,14h 47m 41s
162,6/13/2018,14d 54m 16s South,14h 47m 22s
163,6/14/2018,14d 53m 10s South,14h 47m 5s
164,6/15/2018,14d 52m 8s South,14h 46m 48s
165,6/16/2018,14d 51m 8s South,14h 46m 31s
166,6/17/2018,14d 50m 12s South,14h 46m 15s
167,6/18/2018,14d 49m 18s South,14h 46m 0s
168,6/19/2018,14d 48m 27s South,14h 45m 45s
169,6/20/2018,14d 47m 40s South,14h 45m 31s
170,6/21/2018,14d 46m 55s South,14h 45m 18s
171,6/22/2018,14d 46m 14s South,14h 45m 6s
172,6/23/2018,14d 45m 35s South,14h 44m 54s
173,6/24/2018,14d 45m 0s South,14h 44m 43s
174,6/25/2018,14d 44m 28s South,14h 44m 32s
175,6/26/2018,14d 43m 59s South,14h 44m 22s
176,6/27/2018,14d 43m 34s South,14h 44m 13s
177,6/28/2018,14d 43m 11s South,14h 44m 5s
178,6/29/2018,14d 42m 52s South,14h 43m 57s
179,6/30/2018,14d 42m 36s South,14h 43m 50s
180,7/1/2018,14d 42m 23s South,14h 43m 44s
181,7/2/2018,14d 42m 14s South,14h 43m 38s
182,7/3/2018,14d 42m 8s South,14h 43m 33s
183,7/4/2018,14d 42m 5s South,14h 43m 29s
184,7/5/2018,14d 42m 6s South,14h 43m 25s
185,7/6/2018,14d 42m 10s South,14h 43m 23s
186,7/7/2018,14d 42m 17s South,14h 43m 21s
187,7/8/2018,14d 42m 27s South,14h 43m 19s
188,7/9/2018,14d 42m 41s South,14h 43m 19s
189,7/10/2018,14d 42m 58s South,14h 43m 19s
190,7/11/2018,14d 43m 18s South,14h 43m 20s
191,7/12/2018,14d 43m 42s South,14h 43m 21s
192,7/13/2018,14d 44m 8s South,14h 43m 23s
193,7/14/2018,14d 44m 38s South,14h 43m 26s
194,7/15/2018,14d 45m 12s South,14h 43m 30s
195,7/16/2018,14d 45m 48s South,14h 43m 34s
196,7/17/2018,14d 46m 28s South,14h 43m 39s
197,7/18/2018,14d 47m 11s South,14h 43m 45s
198,7/19/2018,14d 47m 57s South,14h 43m 52s
199,7/20/2018,14d 48m 46s South,14h 43m 59s
200,7/21/2018,14d 49m 38s South,14h 44m 7s
201,7/22/2018,14d 50m 33s South,14h 44m 15s
202,7/23/2018,14d 51m 32s South,14h 44m 25s
203,7/24/2018,14d 52m 33s South,14h 44m 35s
204,7/25/2018,14d 53m 38s South,14h 44m 45s
205,7/26/2018,14d 54m 45s South,14h 44m 57s
206,7/27/2018,14d 55m 56s South,14h 45m 9s
207,7/28/2018,14d 57m 9s South,14h 45m 21s
208,7/29/2018,14d 58m 25s South,14h 45m 35s
209,7/30/2018,14d 59m 44s South,14h 45m 49s
210,7/31/2018,15d 1m 6s South,14h 46m 3s
211,8/1/2018,15d 2m 31s South,14h 46m 19s
212,8/2/2018,15d 3m 59s South,14h 46m 34s
213,8/3/2018,15d 5m 29s South,14h 46m 51s
214,8/4/2018,15d 7m 2s South,14h 47m 8s
215,8/5/2018,15d 8m 38s South,14h 47m 26s
216,8/6/2018,15d 10m 16s South,14h 47m 45s
217,8/7/2018,15d 11m 58s South,14h 48m 4s
218,8/8/2018,15d 13m 41s South,14h 48m 24s
219,8/9/2018,15d 15m 27s South,14h 48m 44s
220,8/10/2018,15d 17m 16s South,14h 49m 5s
221,8/11/2018,15d 19m 7s South,14h 49m 27s
222,8/12/2018,15d 21m 1s South,14h 49m 49s
223,8/13/2018,15d 22m 56s South,14h 50m 12s
224,8/14/2018,15d 24m 55s South,14h 50m 35s
225,8/15/2018,15d 26m 55s South,14h 50m 59s
226,8/16/2018,15d 28m 58s South,14h 51m 24s
227,8/17/2018,15d 31m 3s South,14h 51m 49s
228,8/18/2018,15d 33m 11s South,14h 52m 15s
229,8/19/2018,15d 35m 20s South,14h 52m 41s
230,8/20/2018,15d 37m 32s South,14h 53m 8s
231,8/21/2018,15d 39m 45s South,14h 53m 36s
232,8/22/2018,15d 42m 1s South,14h 54m 4s
233,8/23/2018,15d 44m 18s South,14h 54m 32s
234,8/24/2018,15d 46m 38s South,14h 55m 1s
235,8/25/2018,15d 48m 59s South,14h 55m 31s
236,8/26/2018,15d 51m 23s South,14h 56m 1s
237,8/27/2018,15d 53m 48s South,14h 56m 32s
238,8/28/2018,15d 56m 15s South,14h 57m 3s
239,8/29/2018,15d 58m 44s South,14h 57m 34s
240,8/30/2018,16d 1m 14s South,14h 58m 7s
241,8/31/2018,16d 3m 46s South,14h 58m 39s
242,9/1/2018,16d 6m 20s South,14h 59m 13s
243,9/2/2018,16d 8m 55s South,14h 59m 46s
244,9/3/2018,16d 11m 32s South,15h 0m 20s
245,9/4/2018,16d 14m 10s South,15h 0m 55s
246,9/5/2018,16d 16m 50s South,15h 1m 30s
247,9/6/2018,16d 19m 31s South,15h 2m 6s
248,9/7/2018,16d 22m 13s South,15h 2m 42s
249,9/8/2018,16d 24m 57s South,15h 3m 19s
250,9/9/2018,16d 27m 42s South,15h 3m 56s
251,9/10/2018,16d 30m 28s South,15h 4m 33s
252,9/11/2018,16d 33m 16s South,15h 5m 11s
253,9/12/2018,16d 36m 5s South,15h 5m 49s
254,9/13/2018,16d 38m 54s South,15h 6m 28s
255,9/14/2018,16d 41m 45s South,15h 7m 7s
256,9/15/2018,16d 44m 37s South,15h 7m 47s
257,9/16/2018,16d 47m 30s South,15h 8m 27s
258,9/17/2018,16d 50m 24s South,15h 9m 7s
259,9/18/2018,16d 53m 19s South,15h 9m 48s
260,9/19/2018,16d 56m 14s South,15h 10m 29s
261,9/20/2018,16d 59m 11s South,15h 11m 11s
262,9/21/2018,17d 2m 8s South,15h 11m 53s
263,9/22/2018,17d 5m 6s South,15h 12m 35s
264,9/23/2018,17d 8m 5s South,15h 13m 18s
265,9/24/2018,17d 11m 4s South,15h 14m 1s
266,9/25/2018,17d 14m 4s South,15h 14m 45s
267,9/26/2018,17d 17m 5s South,15h 15m 29s
268,9/27/2018,17d 20m 6s South,15h 16m 13s
269,9/28/2018,17d 23m 8s South,15h 16m 57s
270,9/29/2018,17d 26m 10s South,15h 17m 42s
271,9/30/2018,17d 29m 13s South,15h 18m 28s
272,10/1/2018,17d 32m 16s South,15h 19m 13s
273,10/2/2018,17d 35m 19s South,15h 19m 59s
274,10/3/2018,17d 38m 23s South,15h 20m 45s
275,10/4/2018,17d 41m 27s South,15h 21m 32s
276,10/5/2018,17d 44m 32s South,15h 22m 19s
277,10/6/2018,17d 47m 36s South,15h 23m 6s
278,10/7/2018,17d 50m 41s South,15h 23m 54s
279,10/8/2018,17d 53m 46s South,15h 24m 41s
280,10/9/2018,17d 56m 51s South,15h 25m 30s
281,10/10/2018,17d 59m 56s South,15h 26m 18s
282,10/11/2018,18d 3m 1s South,15h 27m 7s
283,10/12/2018,18d 6m 6s South,15h 27m 56s
284,10/13/2018,18d 9m 11s South,15h 28m 45s
285,10/14/2018,18d 12m 17s South,15h 29m 34s
286,10/15/2018,18d 15m 22s South,15h 30m 24s
287,10/16/2018,18d 18m 26s South,15h 31m 14s
288,10/17/2018,18d 21m 31s South,15h 32m 5s
289,10/18/2018,18d 24m 36s South,15h 32m 55s
290,10/19/2018,18d 27m 40s South,15h 33m 46s
291,10/20/2018,18d 30m 44s South,15h 34m 37s
292,10/21/2018,18d 33m 48s South,15h 35m 28s
293,10/22/2018,18d 36m 51s South,15h 36m 20s
294,10/23/2018,18d 39m 54s South,15h 37m 11s
295,10/24/2018,18d 42m 57s South,15h 38m 3s
296,10/25/2018,18d 45m 59s South,15h 38m 55s
297,10/26/2018,18d 49m 1s South,15h 39m 48s
298,10/27/2018,18d 52m 2s South,15h 40m 40s
299,10/28/2018,18d 55m 3s South,15h 41m 33s
300,10/29/2018,18d 58m 3s South,15h 42m 26s
301,10/30/2018,19d 1m 3s South,15h 43m 19s
302,10/31/2018,19d 4m 2s South,15h 44m 12s
303,11/1/2018,19d 7m 1s South,15h 45m 6s
304,11/2/2018,19d 9m 58s South,15h 45m 59s
305,11/3/2018,19d 12m 56s South,15h 46m 53s
306,11/4/2018,19d 15m 52s South,15h 47m 47s
307,11/5/2018,19d 18m 48s South,15h 48m 41s
308,11/6/2018,19d 21m 43s South,15h 49m 35s
309,11/7/2018,19d 24m 37s South,15h 50m 30s
310,11/8/2018,19d 27m 30s South,15h 51m 24s
311,11/9/2018,19d 30m 23s South,15h 52m 19s
312,11/10/2018,19d 33m 14s South,15h 53m 14s
313,11/11/2018,19d 36m 5s South,15h 54m 9s
314,11/12/2018,19d 38m 55s South,15h 55m 4s
315,11/13/2018,19d 41m 44s South,15h 55m 59s
