,date,declination,right_ascension
113,4/25/2018,20d 56m 43s North,3h 55m 17s
114,4/26/2018,21d 14m 4s North,4h 0m 21s
115,4/27/2018,21d 30m 51s North,4h 5m 26s
116,4/28/2018,21d 47m 4s North,4h 10m 31s
117,4/29/2018,22d 2m 41s North,4h 15m 37s
118,4/30/2018,22d 17m 42s North,4h 20m 45s
119,5/1/2018,22d 32m 7s North,4h 25m 53s
120,5/2/2018,22d 45m 54s North,4h 31m 2s
121,5/3/2018,22d 59m 4s North,4h 36m 12s
122,5/4/2018,23d 11m 36s North,4h 41m 23s
123,5/5/2018,23d 23m 29s North,4h 46m 35s
124,5/6/2018,23d 34m 43s North,4h 51m 47s
125,5/7/2018,23d 45m 18s North,4h 57m 0s
126,5/8/2018,23d 55m 12s North,5h 2m 14s
127,5/9/2018,24d 4m 27s North,5h 7m 28s
128,5/10/2018,24d 13m 0s North,5h 12m 43s
129,5/11/2018,24d 20m 53s North,5h 17m 58s
130,5/12/2018,24d 28m 4s North,5h 23m 14s
131,5/13/2018,24d 34m 34s North,5h 28m 30s
132,5/14/2018,24d 40m 22s North,5h 33m 47s
133,5/15/2018,24d 45m 27s North,5h 39m 4s
134,5/16/2018,24d 49m 50s North,5h 44m 20s
